sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8
35.0,174.0,2.0,239.0,25.0,50.0,91.0,168.0
35.0,175.0,2.0,240.0,25.0,50.0,92.0,168.0
35.0,175.0,2.0,240.0,25.0,51.0,91.0,168.0
35.0,174.0,2.0,239.0,25.0,50.0,91.0,168.0
44.0,175.0,2.0,253.0,27.0,56.0,94.0,176.0
46.0,175.0,2.0,256.0,27.0,56.0,94.0,177.0
47.0,176.0,2.0,257.0,27.0,57.0,95.0,178.0
49.0,177.0,1.0,262.0,28.0,57.0,97.0,182.0
49.0,176.0,2.0,261.0,27.0,57.0,97.0,182.0
49.0,177.0,2.0,262.0,27.0,57.0,97.0,182.0
49.0,178.0,2.0,262.0,28.0,57.0,97.0,183.0
48.0,177.0,2.0,261.0,27.0,57.0,96.0,182.0
48.0,177.0,2.0,261.0,27.0,57.0,97.0,183.0
48.0,178.0,2.0,261.0,27.0,57.0,97.0,183.0
48.0,177.0,2.0,262.0,28.0,56.0,97.0,183.0
48.0,177.0,2.0,262.0,28.0,56.0,97.0,183.0
48.0,178.0,2.0,262.0,27.0,56.0,97.0,183.0
47.0,177.0,1.0,262.0,28.0,57.0,97.0,183.0
47.0,177.0,2.0,261.0,28.0,56.0,97.0,183.0
48.0,178.0,1.0,261.0,28.0,57.0,97.0,184.0
47.0,178.0,2.0,261.0,28.0,57.0,97.0,184.0
46.0,178.0,2.0,261.0,28.0,56.0,97.0,184.0
46.0,178.0,2.0,261.0,28.0,56.0,97.0,184.0
46.0,177.0,2.0,261.0,28.0,56.0,97.0,184.0
,178.0,2.0,260.0,28.0,56.0,97.0,184.0
46.0,179.0,2.0,260.0,28.0,56.0,98.0,185.0
46.0,178.0,2.0,261.0,28.0,56.0,98.0,184.0
45.0,178.0,2.0,260.0,28.0,56.0,98.0,184.0
44.0,178.0,2.0,260.0,28.0,56.0,98.0,184.0
44.0,179.0,2.0,258.0,28.0,55.0,97.0,185.0
,178.0,2.0,258.0,28.0,55.0,97.0,184.0
44.0,178.0,2.0,258.0,28.0,55.0,97.0,185.0
44.0,178.0,2.0,258.0,28.0,55.0,97.0,185.0
43.0,178.0,2.0,256.0,27.0,55.0,97.0,184.0
43.0,178.0,2.0,257.0,28.0,55.0,97.0,185.0
43.0,178.0,2.0,257.0,28.0,55.0,98.0,185.0
43.0,179.0,2.0,256.0,28.0,55.0,98.0,185.0
43.0,179.0,2.0,256.0,28.0,54.0,97.0,184.0
43.0,179.0,2.0,256.0,28.0,55.0,97.0,185.0
43.0,179.0,2.0,256.0,27.0,54.0,98.0,185.0
