sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8
36.0, 166.00,2.0,241.0,24.0,52.0,90.0, 165.00
36.0, 167.00,2.0,241.0,24.0,52.0,90.0, 165.00
36.0, 167.00,2.0,242.0,24.0,52.0,90.0, 165.00
35.0, 167.00,2.0,241.0,24.0,51.0,91.0, 165.00
35.0, 167.00,2.0,240.0,24.0,51.0,90.0, 166.005.00
35.0, 167.00,2.0,240.0,24.0,51.0,90.0, 166.005.00
35.0, 167.00,2.0,240.0,24.0,51.0,90.0, 166.00
35.0, 168.00,2.0,241.0,24.0,51.0,90.0, 165.00
, 168.00,2.0,239.0,24.0,51.0,91.0, 165.00
35.0, 167.00,2.0,239.0,24.0,51.0,90.0, 165.00
34.0, 167.00,2.0,239.0,24.0,50.0,90.0, 164.00
34.0, 168.00,2.0,239.0,24.0,51.0,90.0, 165.00
34.0, 168 168.00,2.0,238.0,24.0,50.0,90.0, 164.00
34.0, 168 168.00,2.0,238.0,24.0,50.0,90.0, 164.00
34.0, 168 168.00,2.0,238.0,24.0,50.0,90.0, 164.00
34.0, 168.00,1.0,239.0,24.0,50.0,90.0, 165.00
34.0, 168.00,1.0,239.0,24.0,51.0,90.0, 164.00
34.0, 167.00,2.0,239.0,23.0,51.0,90.0, 164.00
34.0, 167.00,2.0,238.0,23.0,50.0,90.0, 164.00
34.0, 167.00,2.0,238.0,23.0,50.0,90.0, 164.00
34.0, 168.00,2.0,238.0,24.0,50.0,89.0, 163.00
33.0, 168.00,2.0,237.0,24.0,50.0,90.0, 163.00
34.0, 169.00,2.0,238.0,24.0,50.0,89.0, 164.00
33.0, 168.00,1.0,237.0,24.0,50.0,90.0, 163.00
34.0, 167.00,1.0,238.0,24.0,50.0,89.0, 163.003.00
34.0, 167.00,1.0,238.0,24.0,50.0,89.0, 163.003.00
34.0, 167.00,1.0,238.0,24.0,50.0,89.0, 163.00
34.0, 168.00,2.0,238.0,23.0,50.0,89.0, 163.00
34.0, 168.00,2.0,237.0,23.0,50.0,89.0, 162.00
34.0, 168.00,2.0,237.0,23.0,50.0,89.0, 162.00
34.0, 168.00,2.0,237.0,24.0,50.0,89.0, 162.00
33.0, 168 167.00,1.0,237.0,24.0,50.0,89.0, 162.00
33.0, 168 167.00,1.0,237.0,24.0,50.0,89.0, 162.00
33.0, 168 167.00,1.0,237.0,24.0,50.0,89.0, 162.00
33.0, 168.00,2.0,237.0,24.0,50.0,89.0, 162.00
34.0, 168.00,2.0,237.0,23.0,50.0,89.0, 161.00
33.0, 168.00,2.0,237.0,24.0,49.0,89.0, 162.00
34.0, 167.00,2.0,237.0,23.0,50.0,89.0, 161.00
34.0, 167.00,2.0,237.0,24.0,50.0,89.0, 161.00
, 167.00,1.0,237.0,24.0,50.0,89.0, 160.00
