sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8
50.0,198.0,3.0, 261.00,36.0,57.0,109.0," 232.0000"
50.0,198.0,3.0, 261.00,36.0,57.0,109.0," 232.0000"
50.0,198.0,3.0, 261.00,36.0,57.0,109.0," 232.0000"
50.0,198.0,3.0, 261.00,36.0,57.0,109.0, 232.00
49.0,199.0,3.0, 261.00,36.0,57.0,109.0, 233.00
49.0,199.0,2.0, 260.00,36.0,57.0,109.0, 233.00
49.0,199.0,3.0, 261.00,36.0,57.0,109.0, 233.00
47.0,195.0,2.0, 255.00,35.0,55.0,107.0, 229.00
47.0,196.0,3.0, 255.00,35.0,55.0,107.0, 230.00
48.0,195.0,2.0, 256.00,35.0,56.0,108.0, 230.00
45.0,189.0,2.0, 247.00.00,34.0,54.0,104.0, 223.00
45.0,189.0,2.0, 247.00.00,34.0,54.0,104.0, 223.00
45.0,189.0,2.0, 247.00.00,34.0,54.0,104.0, 223.00
45.0,189.0,2.0, 247.00,34.0,53.0,103.0, 223.00
44.0,187.0,2.0, 245.00,34.0,53.0,103.0, 221.00
44.0,187.0,2.0, 245.00,34.0,53.0,103.0, 221.00
45.0,188.0,2.0, 246.00,34.0,53.0,103.0, 221.00
46.0,192.0,2.0, 250.00.00,34.0,54.0,105.0, 225.00
46.0,192.0,2.0, 250.00.00,34.0,54.0,105.0, 225.00
46.0,192.0,2.0, 250.00.00,34.0,54.0,105.0, 225.00
46.0,192.0,2.0, 250.00,34.0,54.0,105.0, 225.00
,194.0,2.0, 252.00,35.0,54.0,106.0, 226.00
46.0,196.0,2.0, 254.00,35.0,55.0,107.0, 228.00
45.0,195.0,2.0, 253.00,34.0,55.0,107.0, 228.00
45.0,196.0,2.0, 253.00,35.0,54.0,106.0, 228.00
45.0,195.0,2.0, 253.00,35.0,54.0,107.0, 228.00
45.0,196.0,2.0, 253.00,35.0,54.0,107.0, 228.00
45.0,196.0,2.0, 252.00,35.0,54.0,107.0, 227.00
45.0,196.0,2.0, 253.00,35.0,54.0,107.0," 227.0000"
45.0,196.0,2.0, 253.00,35.0,54.0,107.0, 227.00
45.0,196.0,2.0, 253.00,35.0,54.0,107.0, 227.00
45.0,195.0,3.0, 253.00,35.0,54.0,106.0, 227.00
45.0,196.0,2.0, 252.00,34.0,54.0,106.0, 226.00
45.0,196.0,2.0, 252.00,35.0,54.0,106.0, 226.00
45.0,197.0,2.0, 252.00,34.0,54.0,106.0, 227.00
44.0,196.0,2.0, 252.00,34.0,54.0,106.0, 226.00
,197.0,2.0, 252.00,35.0,54.0,106.0, 226.00
44.0,195.0,2.0, 251.00,34.0,53.0,105.0, 225.00
44.0,196.0,2.0, 252.00,34.0,54.0,106.0, 225.00
44.0,196.0,2.0, 251.00.00,34.0,54.0,105.0, 225.00
