sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8
52.0,231.0,2.0,262.0,39.0,61.0, 113.00," 246.0000"
52.0,231.0,2.0,262.0,39.0,61.0, 113.00," 246.0000"
52.0,231.0,2.0,262.0,39.0,61.0, 113.00," 246.0000"
52.0,231.0,2.0,262.0,39.0,61.0, 113.00, 246.00
52.0,231.0,3.0,262.0,39.0,61.0, 113.00, 246.00
49.0,230.0,3.0,260.0,39.0,60.0, 112.00, 242.00
47.0,229.0,3.0,257.0,38.0,59.0, 111.00, 238.00
47.0,230.0,3.0,258.0,38.0,59.0, 110.00, 238.00
48.0,228.0,4.0,258.0,38.0,58.0, 110.00, 238.00.00
48.0,228.0,4.0,258.0,38.0,58.0, 110.00, 238.00
46.0,228.0,2.0,257.0,38.0,59.0, 110.00, 235.00
47.0,228.0,3.0,257.0,37.0,58.0, 110.00, 235.00
46.0,229.0,3.0,256.0,37.0,58.0, 11 110.00, 235.00
46.0,229.0,3.0,256.0,37.0,58.0, 110.00, 234.00
46.0,228.0,3.0,256.0,37.0,58.0, 109.00, 232.00
45.0,227.0,3.0,255.0,37.0,57.0, 109.00, 232.00
46.0,228.0,3.0,256.0,37.0,57.0, 109.00, 232.02.00
46.0,228.0,3.0,256.0,37.0,57.0, 109.00, 232.00
45.0,226.0,3.0,253.0,36.0,57.0, 109.00, 229.00
44.0,228.0,3.0,254.0,37.0,57.0, 109.00, 229.00
44.0,226.0,3.0,254.0,36.0,57.0, 108.00, 227.00
44.0,226.0,2.0,254.0,36.0,57.0, 109.00, 227.00
44.0,226.0,3.0,253.0,36.0,57.0, 108.00, 227.00
44.0,226.0,3.0,253.0,35.0,57.0, 107.00, 225.00
44.0,226.0,3.0,253.0,35.0,57.0, 108.00, 224.00
44.0,226.0,3.0,253.0,36.0,56.0, 108.00, 225.04.00
44.0,226.0,3.0,253.0,36.0,56.0, 108.00, 225.00
43.0,226.0,3.0,252.0,35.0,56.0, 107.00, 223.00
43.0,226.0,3.0,253.0,35.0,56.0, 107.00, 223.00
43.0,225.0,3.0,252.0,35.0,56.0, 10 107.00, 223.00
43.0,225.0,3.0,252.0,35.0,56.0, 107.00, 222.00
43.0,226.0,3.0,252.0,35.0,56.0, 107.00, 222.00
43.0,226.0,3.0,252.0,35.0,56.0, 107.00, 221.00
43.0,225.0,3.0,251.0,35.0,56.0, 106.00, 221.00
43.0,225.0,3.0,251.0,34.0,56.0, 106.00, 218.00
43.0,224.0,3.0,251.0,34.0,56.0, 106.00, 217.00
42.0,224.0,2.0,251.0,34.0,56.0, 106.00, 217.00
41.0,223.0,2.0,251.0,34.0,56.0, 105.00, 216.00
42.0,222.0,3.0,251.0,34.0,56.0, 106.00, 217.00
42.0,223.0,2.0,251.0,34.0,56.0, 106.00, 216.07.00
