sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8
61.0, 291.00,8.0,259.0, 49.00, 64.00,121.0," 287.0000"
61.0, 291.00,8.0,259.0, 49.00, 64.00,121.0," 287.0000"
61.0, 291.00,8.0,259.0, 49.00, 64.00,121.0," 287.0000"
61.0, 291.00,8.0,259.0, 49.00, 64.00,121.0, 287.00
56.0, 291.00,8.0,258.0, 48.00, 62.00,121.0, 285.00
56.0, 290.00,8.0,257.0, 48.00, 63.00,121.0, 285.00
55.0, 290.00,8.0,257.0, 48.08.00, 63.00,121.0, 285.00
55.0, 290.00,8.0,257.0, 48.00, 62.00,121.0, 285.00
52.0, 290.00,7.0,256.0, 48.00, 62.00,120.0, 283.00
51.0, 290.00,8.0,255.0, 48.00, 62.00,119.0, 283.00
51.0, 289.00,8.0,254.0, 48.00, 62.00,119.0, 282.00
49.0, 288.00,8.0,253.0, 48.00, 61.00,119.0, 281.00
49.0, 288.00,8.0,253.0, 48.00, 61.00,118.0, 280.00
48.0, 288.00,7.0,253.0, 47.00, 61.00,118.0, 280.00
48.0, 288.00,7.0,252.0, 47.00, 61.00,118.0, 278.00
47.0, 287.00,8.0,251.0, 47.00, 60.00,117.0, 277.00
47.0, 287.00,8.0,251.0, 47.00, 60.00,118.0, 278.00
46.0, 286.00,7.0,251.0, 47.00, 61.00,117.0, 276.00
47.0, 287.00,8.0,251.0, 46.00, 60.00,117.0, 276.00
45.0, 284.00,7.0,250.0, 46.00, 60.00,115.0, 272.00
45.0, 285.00,7.0,249.0, 46.00, 60.00,116.0, 273.00
44.0, 284.00,8.0,249.0, 45.00, 60.00,115.0, 270.00
44.0, 284.00,7.0,249.0, 45.00, 60.00,115.0, 270.00
44.0, 284.00.00,7.0,249.0, 45.00, 60.00,115.0, 270.00
44.0, 284.00,7.0,249.0, 45.00, 60.00,115.0, 270.00
43.0, 282.00,7.0,247.0, 44.00, 59.00,114.0, 268.00
43.0, 283.00,7.0,247.0, 44.00, 59.00,114.0, 267.00
43.0, 281.00,7.0,247.0, 44.00, 59.00,113.0, 265.00
42.0, 280.00,8.0,247.0, 44.00, 59.00,114.0, 265.00
42.0, 281.00,8.0,247.0, 44.00, 59.00,114.0, 265.00
42.0, 279.00,7.0,245.0, 43.00, 58.58.00,113.0, 263.00
42.0, 279.00,7.0,245.0, 43.00, 58.58.00,113.0, 263.00
42.0, 279.00,7.0,245.0, 43.00, 58.58.00,113.0, 263.00
42.0, 279.00,7.0,245.0, 43.00, 58.00,113.0, 262.00
42.0, 279.00,7.0,245.0, 43.00, 58.00,112.0, 260.00
42.0, 278.00,7.0,246.0, 42.00, 58.00,112.0, 261.00
42.0, 279.00,7.0,246.0, 42.00, 58.00,112.0, 261.00
41.0, 278.00,8.0,245.0, 42.00, 58.00,112.0, 259.00
41.0, 277.00,8.0,244.0, 42.00, 58.00,112.0, 259.00
40.0, 275.00,7.0,244.0, 42.00, 58.58.00,111.0, 256.00
