sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8
41.0,205.0,3.0,257.0,30.0,52.0,101.0,198.0
40.0,204.0,2.0,257.0,30.0,52.0,101.0,198.0
40.0,205.0,2.0,257.0,30.0,52.0,101.0,199.0
40.0,205.0,2.0,257.0,30.0,52.0,101.0,198.0
40.0,205.0,3.0,258.0,30.0,52.0,101.0,199.0
40.0,205.0,2.0,257.0,30.0,52.0,101.0,198.0
39.0,204.0,2.0,257.0,30.0,53.0,101.0,198.0
39.0,204.0,3.0,257.0,30.0,52.0,102.0,198.0
40.0,204.0,2.0,257.0,30.0,52.0,101.0,198.0
40.0,205.0,2.0,257.0,30.0,52.0,101.0,198.0
40.0,205.0,3.0,257.0,30.0,52.0,101.0,198.0
39.0,204.0,2.0,256.0,30.0,52.0,101.0,198.0
39.0,204.0,2.0,256.0,30.0,52.0,101.0,198.0
40.0,204.0,2.0,257.0,30.0,52.0,101.0,198.0
40.0,205.0,3.0,256.0,30.0,52.0,101.0,198.0
40.0,204.0,2.0,257.0,30.0,52.0,101.0,198.0
39.0,203.0,2.0,255.0,30.0,52.0,101.0,198.0
39.0,204.0,2.0,256.0,30.0,52.0,100.0,197.0
40.0,205.0,3.0,256.0,30.0,52.0,101.0,198.0
39.0,204.0,3.0,256.0,30.0,52.0,101.0,198.0
39.0,203.0,2.0,256.0,30.0,52.0,101.0,198.0
39.0,203.0,3.0,256.0,30.0,52.0,101.0,198.0
39.0,204.0,2.0,256.0,30.0,52.0,101.0,198.0
39.0,204.0,2.0,255.0,30.0,52.0,101.0,197.0
39.0,204.0,3.0,255.0,30.0,52.0,101.0,197.0
39.0,203.0,2.0,254.0,30.0,52.0,101.0,198.0
39.0,204.0,3.0,255.0,30.0,52.0,101.0,198.0
39.0,204.0,1.0,255.0,30.0,52.0,101.0,197.0
39.0,204.0,3.0,255.0,30.0,52.0,101.0,198.0
39.0,204.0,3.0,255.0,30.0,52.0,101.0,197.0
39.0,203.0,2.0,254.0,30.0,52.0,101.0,197.0
39.0,204.0,2.0,254.0,30.0,52.0,100.0,198.0
39.0,203.0,2.0,254.0,30.0,52.0,100.0,197.0
39.0,204.0,2.0,255.0,30.0,52.0,101.0,197.0
39.0,204.0,2.0,255.0,30.0,52.0,100.0,198.0
39.0,204.0,2.0,255.0,30.0,52.0,101.0,198.0
39.0,203.0,2.0,254.0,30.0,52.0,100.0,197.0
39.0,204.0,2.0,254.0,30.0,52.0,100.0,196.0
39.0,204.0,3.0,254.0,30.0,52.0,100.0,197.0
39.0,204.0,3.0,254.0,30.0,52.0,101.0,197.0
