sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8
83.0,213.0,2.0,250.0,75.0,56.0,123.0,354.0
83.0,212.0,3.0,248.0,75.0,56.0,123.0,353.0
83.0,213.0,2.0,249.0,75.0,56.0,123.0,354.0
83.0,213.0,3.0,250.0,75.0,56.0,123.0,353.0
83.0,213.0,3.0,249.0,75.0,57.0,123.0,352.0
83.0,213.0,3.0,250.0,75.0,56.0,123.0,353.0
83.0,213.0,3.0,248.0,74.0,56.0,123.0,352.0
82.0,213.0,3.0,249.0,75.0,56.0,123.0,353.0
83.0,212.0,2.0,248.0,75.0,56.0,122.0,352.0
82.0,212.0,3.0,249.0,75.0,56.0,122.0,352.0
82.0,213.0,3.0,249.0,75.0,56.0,122.0,353.0
81.0,212.0,3.0,248.0,75.0,56.0,122.0,351.0
82.0,213.0,4.0,249.0,75.0,56.0,122.0,352.0
84.0,212.0,2.0,251.0,76.0,58.0,124.0,358.0
89.0,213.0,4.0,253.0,78.0,60.0,125.0,364.0
93.0,212.0,2.0,254.0,79.0,62.0,126.0,368.0
97.0,213.0,3.0,257.0,81.0,64.0,128.0,372.0
102.0,214.0,2.0,260.0,83.0,64.0,129.0,376.0
106.0,213.0,2.0,261.0,83.0,65.0,130.0,377.0
109.0,213.0,2.0,261.0,84.0,66.0,131.0,380.0
110.0,214.0,3.0,261.0,85.0,66.0,131.0,381.0
110.0,214.0,3.0,262.0,86.0,66.0,132.0,384.0
111.0,213.0,2.0,262.0,86.0,66.0,133.0,385.0
111.0,213.0,3.0,263.0,87.0,66.0,133.0,387.0
111.0,215.0,2.0,263.0,87.0,66.0,134.0,388.0
111.0,214.0,2.0,262.0,87.0,65.0,133.0,389.0
112.0,215.0,4.0,262.0,88.0,65.0,134.0,391.0
111.0,213.0,3.0,262.0,88.0,65.0,134.0,391.0
111.0,214.0,2.0,263.0,88.0,65.0,134.0,392.0
110.0,214.0,3.0,262.0,88.0,65.0,135.0,392.0
110.0,216.0,2.0,263.0,89.0,65.0,135.0,393.0
110.0,214.0,2.0,262.0,89.0,64.0,134.0,393.0
110.0,215.0,3.0,263.0,89.0,64.0,135.0,395.0
110.0,215.0,3.0,261.0,89.0,64.0,135.0,394.0
109.0,215.0,2.0,262.0,89.0,64.0,135.0,396.0
109.0,215.0,4.0,262.0,89.0,64.0,135.0,395.0
109.0,215.0,3.0,262.0,90.0,64.0,135.0,396.0
108.0,215.0,2.0,262.0,90.0,64.0,135.0,396.0
108.0,215.0,3.0,262.0,90.0,64.0,136.0,397.0
108.0,214.0,2.0,260.0,90.0,64.0,135.0,395.0
