sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8
49.0,161.0,2.0,226.0,33.0,51.0,100.0,185.0
49.0,162.0,2.0,227.0,34.0,54.0,103.0,191.0
49.0,162.0,2.0,229.0,35.0,56.0,106.0,197.0
51.0,161.0,0.0,232.0,36.0,59.0,110.0,204.0
53.0,161.0,2.0,234.0,37.0,60.0,112.0,209.0
59.0,162.0,1.0,238.0,39.0,61.0,116.0,215.0
65.0,162.0,1.0,240.0,39.0,62.0,118.0,220.0
70.0,164.0,1.0,242.0,41.0,63.0,121.0,226.0
77.0,164.0,0.0,244.0,42.0,64.0,123.0,231.0
85.0,165.0,2.0,248.0,43.0,65.0,126.0,238.0
94.0,166.0,1.0,250.0,44.0,65.0,128.0,243.0
102.0,167.0,1.0,251.0,45.0,66.0,129.0,248.0
111.0,169.0,2.0,254.0,46.0,66.0,131.0,254.0
119.0,170.0,2.0,255.0,47.0,67.0,133.0,261.0
126.0,170.0,2.0,257.0,48.0,67.0,135.0,265.0
133.0,172.0,2.0,259.0,50.0,68.0,136.0,270.0
141.0,174.0,1.0,260.0,50.0,70.0,138.0,275.0
147.0,175.0,0.0,262.0,52.0,70.0,139.0,279.0
153.0,176.0,1.0,262.0,53.0,70.0,139.0,282.0
155.0,178.0,1.0,263.0,54.0,70.0,141.0,287.0
156.0,178.0,1.0,263.0,54.0,70.0,141.0,290.0
156.0,179.0,2.0,264.0,56.0,70.0,142.0,294.0
155.0,180.0,2.0,263.0,56.0,69.0,143.0,296.0
156.0,182.0,2.0,264.0,57.0,69.0,143.0,301.0
154.0,183.0,2.0,263.0,58.0,68.0,143.0,302.0
153.0,184.0,2.0,265.0,59.0,69.0,144.0,306.0
152.0,183.0,2.0,263.0,59.0,68.0,144.0,307.0
151.0,185.0,2.0,265.0,60.0,69.0,145.0,310.0
149.0,185.0,2.0,264.0,60.0,68.0,145.0,312.0
148.0,186.0,1.0,264.0,61.0,68.0,145.0,315.0
146.0,186.0,2.0,263.0,61.0,69.0,145.0,315.0
146.0,187.0,1.0,264.0,62.0,67.0,145.0,319.0
144.0,188.0,0.0,263.0,62.0,67.0,144.0,318.0
144.0,190.0,2.0,266.0,64.0,67.0,146.0,323.0
144.0,190.0,3.0,266.0,64.0,66.0,145.0,324.0
142.0,190.0,1.0,264.0,64.0,66.0,146.0,327.0
140.0,189.0,1.0,263.0,65.0,66.0,145.0,326.0
139.0,189.0,2.0,263.0,65.0,66.0,145.0,327.0
138.0,189.0,2.0,263.0,65.0,66.0,144.0,327.0
137.0,189.0,3.0,261.0,65.0,65.0,144.0,328.0
