sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8
90.0,199.0,2.0,250.0,71.0,56.0,125.0,341.0
90.0,200.0,3.0,250.0,71.0,56.0,126.0,342.0
90.0,200.0,2.0,250.0,71.0,57.0,125.0,341.0
89.0,200.0,3.0,250.0,71.0,56.0,125.0,340.0
88.0,200.0,2.0,250.0,71.0,56.0,125.0,340.0
88.0,200.0,3.0,250.0,71.0,56.0,125.0,340.0
89.0,200.0,1.0,250.0,71.0,56.0,125.0,340.0
88.0,199.0,0.0,250.0,71.0,56.0,124.0,339.0
88.0,200.0,3.0,250.0,71.0,56.0,124.0,339.0
88.0,199.0,1.0,249.0,71.0,56.0,124.0,341.0
88.0,200.0,3.0,250.0,71.0,58.0,127.0,346.0
88.0,200.0,2.0,251.0,73.0,60.0,130.0,353.0
89.0,199.0,3.0,252.0,74.0,62.0,132.0,358.0
91.0,201.0,0.0,257.0,76.0,63.0,135.0,364.0
94.0,200.0,3.0,260.0,78.0,65.0,138.0,367.0
100.0,200.0,0.0,265.0,80.0,67.0,140.0,374.0
107.0,200.0,1.0,268.0,82.0,67.0,142.0,377.0
115.0,200.0,3.0,271.0,83.0,68.0,144.0,380.0
124.0,201.0,2.0,275.0,85.0,68.0,146.0,385.0
133.0,201.0,3.0,277.0,86.0,69.0,147.0,388.0
141.0,202.0,1.0,280.0,87.0,70.0,150.0,392.0
148.0,202.0,3.0,283.0,89.0,70.0,151.0,395.0
154.0,203.0,2.0,285.0,90.0,71.0,153.0,397.0
160.0,203.0,3.0,288.0,91.0,71.0,154.0,401.0
165.0,203.0,3.0,290.0,93.0,72.0,155.0,403.0
170.0,204.0,1.0,292.0,94.0,72.0,157.0,407.0
175.0,204.0,3.0,294.0,95.0,72.0,157.0,407.0
180.0,205.0,2.0,296.0,96.0,73.0,159.0,412.0
186.0,205.0,2.0,298.0,98.0,73.0,159.0,413.0
194.0,205.0,3.0,300.0,100.0,74.0,161.0,416.0
198.0,206.0,2.0,301.0,101.0,74.0,161.0,416.0
200.0,206.0,3.0,302.0,101.0,74.0,161.0,417.0
202.0,206.0,2.0,303.0,102.0,74.0,163.0,419.0
202.0,207.0,4.0,302.0,103.0,74.0,163.0,421.0
202.0,208.0,2.0,304.0,104.0,74.0,163.0,422.0
202.0,207.0,3.0,305.0,105.0,73.0,164.0,422.0
202.0,208.0,2.0,305.0,106.0,73.0,164.0,422.0
202.0,209.0,2.0,306.0,106.0,73.0,165.0,426.0
201.0,208.0,3.0,306.0,106.0,72.0,165.0,425.0
202.0,209.0,2.0,307.0,108.0,72.0,166.0,427.0
