sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8
72.0,216.0,2.0,245.0,78.0,55.0,126.0,372.0
71.0,217.0,2.0,245.0,78.0,55.0,126.0,372.0
71.0,216.0,3.0,245.0,78.0,55.0,126.0,371.0
71.0,217.0,2.0,245.0,78.0,55.0,126.0,371.0
71.0,216.0,2.0,245.0,78.0,55.0,126.0,371.0
71.0,217.0,2.0,245.0,78.0,55.0,126.0,370.0
70.0,216.0,2.0,244.0,78.0,55.0,126.0,369.0
71.0,217.0,2.0,246.0,78.0,56.0,126.0,369.0
71.0,217.0,4.0,245.0,78.0,55.0,126.0,370.0
71.0,216.0,3.0,245.0,78.0,55.0,126.0,370.0
76.0,217.0,2.0,251.0,80.0,58.0,128.0,375.0
83.0,217.0,3.0,254.0,81.0,60.0,129.0,378.0
90.0,217.0,2.0,260.0,82.0,61.0,130.0,382.0
96.0,217.0,2.0,263.0,84.0,62.0,132.0,386.0
105.0,218.0,0.0,267.0,85.0,63.0,133.0,386.0
116.0,218.0,1.0,272.0,87.0,64.0,134.0,391.0
123.0,218.0,2.0,273.0,88.0,64.0,135.0,392.0
130.0,218.0,3.0,275.0,89.0,65.0,136.0,395.0
133.0,217.0,3.0,275.0,90.0,65.0,136.0,396.0
136.0,219.0,2.0,278.0,91.0,65.0,138.0,398.0
139.0,219.0,3.0,279.0,92.0,65.0,138.0,399.0
139.0,218.0,2.0,279.0,92.0,65.0,138.0,400.0
141.0,219.0,2.0,281.0,93.0,65.0,139.0,402.0
142.0,219.0,3.0,280.0,93.0,64.0,139.0,402.0
143.0,220.0,3.0,282.0,94.0,65.0,140.0,403.0
143.0,219.0,3.0,280.0,94.0,64.0,139.0,403.0
144.0,219.0,3.0,282.0,95.0,65.0,140.0,405.0
144.0,221.0,2.0,283.0,95.0,64.0,140.0,405.0
144.0,220.0,3.0,283.0,95.0,64.0,140.0,407.0
144.0,220.0,2.0,283.0,95.0,64.0,140.0,406.0
144.0,220.0,2.0,282.0,96.0,64.0,140.0,406.0
145.0,221.0,2.0,283.0,96.0,64.0,141.0,408.0
144.0,220.0,3.0,283.0,96.0,64.0,141.0,407.0
145.0,221.0,2.0,283.0,97.0,64.0,141.0,409.0
144.0,220.0,3.0,283.0,97.0,63.0,140.0,407.0
145.0,221.0,3.0,283.0,97.0,63.0,141.0,409.0
144.0,220.0,2.0,283.0,97.0,63.0,140.0,408.0
144.0,220.0,2.0,283.0,98.0,63.0,140.0,410.0
146.0,222.0,3.0,284.0,98.0,63.0,140.0,410.0
145.0,221.0,2.0,283.0,98.0,63.0,140.0,409.0
