Time,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8
1758093517,52.00, 231.00, 2.00, 262.00, 39.00, 61.00, 113.00," 246.0000"
1758093518,52.00, 231.00, 2.00, 262.00, 39.00, 61.00, 113.00," 246.0000"
1758093519,52.00, 231.00, 2.00, 262.00, 39.00, 61.00, 113.00," 246.0000"
1758093520,52.00, 231.00, 2.00, 262.00, 39.00, 61.00, 113.00, 246.00
1758093521,52.00, 231.00, 3.00, 262.00, 39.00, 61.00, 113.00, 246.00
1758093534,49.00, 230.00, 3.00, 260.00, 39.00, 60.00, 112.00, 242.00
1758093536,47.00, 229.00, 3.00, 257.00, 38.00, 59.00, 111.00, 238.00
1758093537,47.00, 230.00, 3.00, 258.00, 38.00, 59.00, 110.00, 238.00
1758093538,48.00, 228.00, 4.00, 258.00, 38.00, 58.00, 110.00, 238.00.00
1758093539,48.00, 228.00, 4.00, 258.00, 38.00, 58.00, 110.00, 238.00
1758093541,46.00, 228.00, 2.00, 257.00, 38.00, 59.00, 110.00, 235.00
1758093542,47.00, 228.00, 3.00, 257.00, 37.00, 58.00, 110.00, 235.00
1758093543,46.00, 229.00, 3.00, 256.00, 37.00, 58.00, 11 110.00, 235.00
1758093544,46.00, 229.00, 3.00, 256.00, 37.00, 58.00, 110.00, 234.00
1758093546,46.00, 228.00, 3.00, 256.00, 37.00, 58.00, 109.00, 232.00
1758093547,45.00, 227.00, 3.00, 255.00, 37.00, 57.00, 109.00, 232.00
1758093548,46.00, 228.00, 3.00, 256.00, 37.00, 57.00, 109.00, 232.02.00
1758093549,46.00, 228.00, 3.00, 256.00, 37.00, 57.00, 109.00, 232.00
1758093551,45.00, 226.00, 3.00, 253.00, 36.00, 57.00, 109.00, 229.00
1758093554,44.00, 228.00, 3.00, 254.00, 37.00, 57.00, 109.00, 229.00
1758093556,44.00, 226.00, 3.00, 254.00, 36.00, 57.00, 108.00, 227.00
1758093557,44.00, 226.00, 2.00, 254.00, 36.00, 57.00, 109.00, 227.00
1758093558,44.00, 226.00, 3.00, 253.00, 36.00, 57.00, 108.00, 227.00
1758093560,44.00, 226.00, 3.00, 253.00, 35.00, 57.00, 107.00, 225.00
1758093561,44.00, 226.00, 3.00, 253.00, 35.00, 57.00, 108.00, 224.00
1758093562,44.00, 226.00, 3.00, 253.00, 36.00, 56.00, 108.00, 225.04.00
1758093563,44.00, 226.00, 3.00, 253.00, 36.00, 56.00, 108.00, 225.00
1758093565,43.00, 226.00, 3.00, 252.00, 35.00, 56.00, 107.00, 223.00
1758093566,43.00, 226.00, 3.00, 253.00, 35.00, 56.00, 107.00, 223.00
1758093567,43.00, 225.00, 3.00, 252.00, 35.00, 56.00, 10 107.00, 223.00
1758093568,43.00, 225.00, 3.00, 252.00, 35.00, 56.00, 107.00, 222.00
1758093570,43.00, 226.00, 3.00, 252.00, 35.00, 56.00, 107.00, 222.00
1758093571,43.00, 226.00, 3.00, 252.00, 35.00, 56.00, 107.00, 221.00
1758093572,43.00, 225.00, 3.00, 251.00, 35.00, 56.00, 106.00, 221.00
1758093579,43.00, 225.00, 3.00, 251.00, 34.00, 56.00, 106.00, 218.00
1758093581,43.00, 224.00, 3.00, 251.00, 34.00, 56.00, 106.00, 217.00
1758093584,42.00, 224.00, 2.00, 251.00, 34.00, 56.00, 106.00, 217.00
1758093586,41.00, 223.00, 2.00, 251.00, 34.00, 56.00, 105.00, 216.00
1758093587,42.00, 222.00, 3.00, 251.00, 34.00, 56.00, 106.00, 217.00
1758093588,42.00, 223.00, 2.00, 251.00, 34.00, 56.00, 106.00, 216.07.00
