Time,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8
1758097597,40.00, 227.00, 3.00, 250.00, 36.00, 54.00, 104.00," 224.0000"
1758097599,40.00, 227.00, 3.00, 250.00, 36.00, 54.00, 104.00," 224.0000"
1758097600,40.00, 227.00, 3.00, 250.00, 36.00, 54.00, 104.00," 224.0000"
1758097601,40.00, 227.00, 3.00, 250.00, 36.00, 54.00, 104.00, 224.00
1758097606,40.00, 227.00, 2.00, 251.00, 35.00, 53.00, 104.00, 224.00
1758097608,40.00, 226.00, 3.00, 249.00, 36.00, 53.00, 104.00, 223.00
1758097609,40.00, 227.00, 3.03.00, 249.00, 36.00, 53.00, 104.00, 223.00
1758097610,40.00, 227.00, 3.03.00, 249.00, 36.00, 53.00, 104.00, 223.00
1758097611,40.00, 227.00, 3.00, 250.00, 35.00, 53.00, 104.00, 223.00
1758097612,40.00, 227.00, 3.00, 250.00, 35.00, 53.00, 105.00, 224.00
1758097615,39.00, 227.00, 3.00, 249.00, 35.00, 53.00, 104.00, 222.00
1758097616,40.00, 226.00, 3.00, 249.00, 35.00, 53.00, 105.00, 223.00
1758097617,40.00, 226.00, 2.00, 249.00, 35.00, 53.00, 104.00, 223.00
1758097618,39.00, 226.00, 3.00, 249.00, 35.00, 53.00, 104.00, 222.00
1758097619,40.00, 226.00, 2.00, 250.00, 35.00, 53.00, 104.00, 222.00
1758097620,40.00, 226.00, 3.00, 250.00, 35.00, 53.00, 104.00, 223.00
1758097621,39.00, 226.00, 3.00, 249.00, 35.00, 53.00, 104.00, 223.00
1758097622,40.00, 226.00, 2.00, 250.00, 35.00, 53.00, 104.00, 222.00
1758097624,40.00, 225.00, 3.00, 249.00, 35.00, 53.00, 104.00, 223.00
1758097625,40.00, 226.00, 3.00, 250.00, 35.00, 53.00, 104.00, 222.00
1758097626,40.00, 225.00, 2.00, 249.00, 35.00, 53.00, 104.00, 222.00
1758097631,40.00, 226.00, 3.00, 249.00, 35.00, 53.00, 104.00, 221.00
1758097633,40.00, 225.00, 3.00, 250.00, 35.00, 53.00, 104.00, 222.00
1758097634,40.00, 226.00, 2.03.00, 250.00, 35.00, 53.00, 104.00, 222.00
1758097635,40.00, 226.00, 2.03.00, 250.00, 35.00, 53.00, 104.00, 222.00
1758097636,40.00, 226.00, 2.00, 250.00, 35.00, 53.00, 104.00, 222.00
1758097641,40.00, 225.00, 3.00, 250.00, 35.00, 53.00, 104.00, 222.00
1758097643,39.00, 225.00, 4.00, 250.00, 34.00, 53.00, 104.00, 221.00
1758097644,40.00, 224.00, 2.04.00, 250.00, 34.00, 53.00, 104.00, 221.00
1758097645,40.00, 224.00, 2.04.00, 250.00, 34.00, 53.00, 104.00, 221.00
1758097646,40.00, 224.00, 2.00, 250.00, 35.00, 53.00, 104.00, 221.00
1758097649,40.00, 224.00, 3.00, 250.00, 35.00, 53.00, 104.00, 221.00
1758097650,40.00, 225.00, 2.00, 250.00, 35.00, 53.00, 104.00, 221.00
1758097651,39.00, 226.00, 3.00, 251.00, 35.00, 53.00, 104.00, 220.00
1758097652,40.00, 224.00, 3.00, 251.00, 35.00, 53.00, 103.00, 220.00
1758097653,39.00, 224.00, 3.00, 250.00, 34.00, 53.00, 104.00, 220.00
1758097654,40.00, 225.00, 3.00, 250.00, 35.00, 53.00, 104.00, 221.00
1758097655,39.00, 225.00, 3.00, 251.00, 35.00, 53.00, 104.00, 221.00
1758097657,39.00, 224.00, 3.00, 250.00, 35.00, 53.00, 104.00, 220.00
1758097658,39.00, 223.00, 3.00, 249.00, 34.00, 53.00, 104.00, 220.00
