Time,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8
1758098976,41.00, 205.00, 3.00, 257.00, 30.00, 52.00, 101.00, 198.00
1758098977,40.00, 204.00, 2.00, 257.00, 30.00, 52.00, 101.00, 198.00
1758098978,40.00, 205.00, 2.00, 257.00, 30.00, 52.00, 101.00, 199.00
1758098979,40.00, 205.00, 2.00, 257.00, 30.00, 52.00, 101.00, 198.00
1758098980,40.00, 205.00, 3.00, 258.00, 30.00, 52.00, 101.00, 199.00
1758098981,40.00, 205.00, 2.00, 257.00, 30.00, 52.00, 101.00, 198.00
1758098982,39.00, 204.00, 2.00, 257.00, 30.00, 53.00, 101.00, 198.00
1758098983,39.00, 204.00, 3.00, 257.00, 30.00, 52.00, 102.00, 198.00
1758098984,40.00, 204.00, 2.00, 257.00, 30.00, 52.00, 101.00, 198.00
1758098985,40.00, 205.00, 2.00, 257.00, 30.00, 52.00, 101.00, 198.00
1758098986,40.00, 205.00, 3.00, 257.00, 30.00, 52.00, 101.00, 198.00
1758098987,39.00, 204.00, 2.00, 256.00, 30.00, 52.00, 101.00, 198.00
1758098988,39.00, 204.00, 2.00, 256.00, 30.00, 52.00, 101.00, 198.00
1758098989,40.00, 204.00, 2.00, 257.00, 30.00, 52.00, 101.00, 198.00
1758098990,40.00, 205.00, 3.00, 256.00, 30.00, 52.00, 101.00, 198.00
1758098991,40.00, 204.00, 2.00, 257.00, 30.00, 52.00, 101.00, 198.00
1758098992,39.00, 203.00, 2.00, 255.00, 30.00, 52.00, 101.00, 198.00
1758098993,39.00, 204.00, 2.00, 256.00, 30.00, 52.00, 100.00, 197.00
1758098994,40.00, 205.00, 3.00, 256.00, 30.00, 52.00, 101.00, 198.00
1758098995,39.00, 204.00, 3.00, 256.00, 30.00, 52.00, 101.00, 198.00
1758098996,39.00, 203.00, 2.00, 256.00, 30.00, 52.00, 101.00, 198.00
1758098997,39.00, 203.00, 3.00, 256.00, 30.00, 52.00, 101.00, 198.00
1758098998,39.00, 204.00, 2.00, 256.00, 30.00, 52.00, 101.00, 198.00
1758098999,39.00, 204.00, 2.00, 255.00, 30.00, 52.00, 101.00, 197.00
1758099000,39.00, 204.00, 3.00, 255.00, 30.00, 52.00, 101.00, 197.00
1758099001,39.00, 203.00, 2.00, 254.00, 30.00, 52.00, 101.00, 198.00
1758099002,39.00, 204.00, 3.00, 255.00, 30.00, 52.00, 101.00, 198.00
1758099003,39.00, 204.00, 1.00, 255.00, 30.00, 52.00, 101.00, 197.00
1758099004,39.00, 204.00, 3.00, 255.00, 30.00, 52.00, 101.00, 198.00
1758099005,39.00, 204.00, 3.00, 255.00, 30.00, 52.00, 101.00, 197.00
1758099006,39.00, 203.00, 2.00, 254.00, 30.00, 52.00, 101.00, 197.00
1758099007,39.00, 204.00, 2.00, 254.00, 30.00, 52.00, 100.00, 198.00
1758099008,39.00, 203.00, 2.00, 254.00, 30.00, 52.00, 100.00, 197.00
1758099009,39.00, 204.00, 2.00, 255.00, 30.00, 52.00, 101.00, 197.00
1758099010,39.00, 204.00, 2.00, 255.00, 30.00, 52.00, 100.00, 198.00
1758099011,39.00, 204.00, 2.00, 255.00, 30.00, 52.00, 101.00, 198.00
1758099012,39.00, 203.00, 2.00, 254.00, 30.00, 52.00, 100.00, 197.00
1758099013,39.00, 204.00, 2.00, 254.00, 30.00, 52.00, 100.00, 196.00
1758099014,39.00, 204.00, 3.00, 254.00, 30.00, 52.00, 100.00, 197.00
1758099015,39.00, 204.00, 3.00, 254.00, 30.00, 52.00, 101.00, 197.00
