Time,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8
1757924188,50.00, 181.00, 2.00, 230.00, 36.00, 50.00, 103.00, 193.00
1757924188,50.00, 180.00, 2.00, 231.00, 36.00, 50.00, 103.00, 193.00
1757924189,50.00, 181.00, 1.00, 230.00, 36.00, 50.00, 103.00, 194.00
1757924190,50.00, 181.00, 2.00, 229.00, 36.00, 50.00, 103.00, 193.00
1757924191,50.00, 180.00, 2.00, 230.00, 36.00, 50.00, 103.00, 194.00
1757924192,50.00, 181.00, 1.00, 230.00, 36.00, 50.00, 103.00, 194.00
1757924193,49.00, 180.00, 3.00, 230.00, 36.00, 50.00, 103.00, 193.00
1757924194,50.00, 181.00, 2.00, 230.00, 36.00, 50.00, 103.00, 193.00
1757924195,50.00, 181.00, 1.00, 230.00, 36.00, 50.00, 103.00, 194.00
1757924196,50.00, 181.00, 2.00, 230.00, 36.00, 50.00, 103.00, 193.00
1757924203,50.00, 180.00, 2.00, 230.00, 36.00, 50.00, 103.00, 193.00
1757924204,50.00, 180.00, 1.00, 230.00, 36.00, 50.00, 103.00, 193.00
1757924205,50.00, 181.00, 2.00, 230.00, 36.00, 50.00, 103.00, 194.00
1757924206,50.00, 180.00, 2.00, 229.00, 36.00, 50.00, 103.00, 193.00
1757924207,50.00, 180.00, 2.00, 230.00, 36.00, 50.00, 103.00, 194.00
1757924208,50.00, 181.00, 2.00, 230.00, 36.00, 50.00, 103.00, 194.00
1757924209,50.00, 181.00, 2.00, 230.00, 36.00, 50.00, 103.00, 193.00
1757924210,50.00, 181.00, 2.00, 230.00, 36.00, 50.00, 103.00, 193.00
1757924212,50.00, 182.00, 2.00, 230.00, 36.00, 50.00, 103.00, 193.00
1757924213,50.00, 180.00, 1.00, 229.00, 36.00, 50.00, 103.00, 193.00
1757924214,49.00, 181.00, 2.00, 230.00, 36.00, 50.00, 103.00, 193.00
1757924215,50.00, 180.00, 2.00, 230.00, 36.00, 50.00, 103.00, 193.00
1757924216,49.00, 179.00, 2.00, 229.00, 36.00, 50.00, 103.00, 192.00
1757924217,50.00, 180.00, 2.00, 230.00, 36.00, 50.00, 103.00, 193.00
1757924218,49.00, 180.00, 2.00, 230.00, 36.00, 50.00, 103.00, 193.00
1757924219,49.00, 180.00, 2.00, 229.00, 36.00, 50.00, 103.00, 192.00
1757924220,49.00, 181.00, 2.00, 230.00, 36.00, 50.00, 103.00, 194.00
1757924221,50.00, 181.00, 2.00, 230.00, 36.00, 50.00, 103.00, 193.00
1757924222,50.00, 180.00, 2.00, 229.00, 36.00, 50.00, 103.00, 193.00
1757924223,50.00, 180.00, 1.00, 230.00, 36.00, 50.00, 103.00, 193.00
