Time,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8
1758095113,43.00, 204.00, 2.00, 253.00, 34.00, 54.00, 104.00, 204.00
1758095114,42.00, 203.00, 2.00, 253.00, 33.00, 54.00, 104.00, 204.00
1758095115,42.00, 204.00, 3.00, 253.00, 34.00, 54.00, 104.00, 204.00
1758095116,42.00, 204.00, 2.00, 253.00, 33.00, 54.00, 104.00, 204.00
1758095117,42.00, 204.00, 3.00, 252.00, 33.00, 54.00, 104.00, 203.00
1758095118,41.00, 204.00, 2.00, 253.00, 33.00, 54.00, 104.00, 204.00
1758095119,42.00, 205.00, 3.00, 252.00, 33.00, 54.00, 104.00, 204.00
1758095120,42.00, 203.00, 3.00, 252.00, 33.00, 54.00, 104.00, 203.00
1758095121,42.00, 204.00, 2.00, 252.00, 33.00, 54.00, 104.00, 204.00
1758095122,42.00, 204.00, 2.00, 254.00, 34.00, 55.00, 105.00, 207.00
1758095123,43.00, 204.00, 2.00, 256.00, 34.00, 56.00, 106.00, 209.00
1758095124,45.00, 204.00, 3.00, 260.00, 35.00, 58.00, 107.00, 213.00
1758095125,48.00, 205.00, 2.00, 264.00, 35.00, 59.00, 108.00, 215.00
1758095126,50.00, 204.00, 2.00, 268.00, 36.00, 61.00, 109.00, 218.00
1758095127,54.00, 205.00, 2.00, 273.00, 36.00, 62.00, 110.00, 220.00
1758095128,58.00, 205.00, 1.00, 276.00, 37.00, 63.00, 111.00, 222.00
1758095129,61.00, 205.00, 3.00, 279.00, 37.00, 63.00, 111.00, 224.00
1758095130,66.00, 205.00, 3.00, 283.00, 38.00, 64.00, 112.00, 227.00
1758095131,72.00, 206.00, 2.00, 285.00, 38.00, 65.00, 113.00, 228.00
1758095132,76.00, 207.00, 3.00, 288.00, 38.00, 65.00, 114.00, 230.00
1758095133,78.00, 206.00, 2.00, 289.00, 39.00, 65.00, 114.00, 231.00
1758095134,78.00, 207.00, 3.00, 290.00, 39.00, 66.00, 115.00, 233.00
1758095135,79.00, 208.00, 3.00, 292.00, 39.00, 65.00, 115.00, 235.00
1758095136,79.00, 206.00, 3.00, 292.00, 39.00, 65.00, 115.00, 235.00
1758095137,79.00, 208.00, 2.00, 292.00, 39.00, 65.00, 115.00, 236.00
1758095138,79.00, 208.00, 3.00, 294.00, 40.00, 65.00, 116.00, 238.00
1758095139,78.00, 207.00, 3.00, 294.00, 40.00, 64.00, 116.00, 238.00
1758095140,78.00, 208.00, 3.00, 295.00, 40.00, 65.00, 117.00, 240.00
1758095141,78.00, 208.00, 2.00, 296.00, 40.00, 65.00, 117.00, 240.00
1758095142,78.00, 209.00, 2.00, 295.00, 40.00, 65.00, 117.00, 240.00
1758095143,77.00, 209.00, 3.00, 296.00, 40.00, 65.00, 117.00, 241.00
1758095144,76.00, 209.00, 3.00, 296.00, 41.00, 65.00, 117.00, 242.00
1758095145,76.00, 209.00, 2.00, 297.00, 41.00, 64.00, 117.00, 243.00
1758095146,76.00, 208.00, 2.00, 297.00, 41.00, 64.00, 117.00, 243.00
1758095147,76.00, 208.00, 2.00, 297.00, 41.00, 65.00, 117.00, 244.00
1758095148,76.00, 209.00, 3.00, 297.00, 42.00, 64.00, 117.00, 244.00
1758095149,75.00, 209.00, 2.00, 296.00, 42.00, 64.00, 117.00, 244.00
1758095150,75.00, 210.00, 3.00, 298.00, 42.00, 64.00, 118.00, 245.00
1758095151,74.00, 209.00, 2.00, 297.00, 41.00, 64.00, 118.00, 245.00
1758095152,74.00, 209.00, 4.00, 297.00, 42.00, 64.00, 118.00, 246.00
