1736180071,84.00, 111.00, 116.00, 21.00, 329.00, 79.00, 155.00, 57.00, 63.80, 21.00
1736180072,84.00, 112.00, 116.00, 20.00, 329.00, 80.00, 155.00, 57.00, 63.80, 21.00
1736180073,84.00, 112.00, 116.00, 21.00, 329.00, 79.00, 155.00, 57.00, 63.80, 21.00
1736180074,83.00, 112.00, 116.00, 21.00, 329.00, 79.00, 155.00, 56.00, 63.80, 21.00
1736180075,84.00, 112.00, 116.00, 21.00, 329.00, 80.00, 156.00, 56.00, 63.80, 21.00
1736180076,84.00, 112.00, 117.00, 21.00, 329.00, 79.00, 154.00, 57.00, 63.80, 21.00
1736180077,83.00, 112.00, 117.00, 21.00, 330.00, 80.00, 156.00, 57.00, 63.80, 21.00
1736180078,83.00, 110.00, 116.00, 21.00, 330.00, 79.00, 155.00, 56.00, 63.80, 21.00
1736180079,83.00, 112.00, 117.00, 21.00, 329.00, 79.00, 155.00, 56.00, 63.80, 21.00
1736180080,83.00, 112.00, 117.00, 20.00, 329.00, 79.00, 155.00, 57.00, 63.80, 21.00
1736180081,84.00, 112.00, 117.00, 20.00, 330.00, 79.00, 155.00, 58.00, 63.80, 21.00
1736180082,83.00, 112.00, 118.00, 20.00, 330.00, 79.00, 156.00, 57.00, 63.80, 21.00
1736180083,83.00, 112.00, 116.00, 21.00, 329.00, 79.00, 155.00, 57.00, 63.80, 21.00
1736180084,83.00, 112.00, 116.00, 21.00, 330.00, 79.00, 155.00, 58.00, 63.80, 21.00
1736180085,83.00, 112.00, 117.00, 21.00, 329.00, 80.00, 155.00, 57.00, 63.80, 21.00
1736180086,83.00, 112.00, 117.00, 21.00, 329.00, 79.00, 156.00, 57.00, 63.80, 21.00
1736180087,83.00, 111.00, 117.00, 19.00, 330.00, 79.00, 155.00, 58.00, 63.80, 21.00
1736180088,83.00, 112.00, 117.00, 21.00, 330.00, 80.00, 155.00, 57.00, 63.80, 21.00
1736180089,83.00, 112.00, 117.00, 20.00, 330.00, 79.00, 155.00, 57.00, 63.80, 21.00
1736180090,83.00, 112.00, 117.00, 19.00, 330.00, 79.00, 155.00, 57.00, 63.80, 21.00
1736180091,83.00, 112.00, 117.00, 22.00, 330.00, 79.00, 155.00, 57.00, 63.80, 21.00
1736180092,82.00, 112.00, 117.00, 21.00, 330.00, 79.00, 155.00, 57.00, 63.80, 21.00
1736180093,83.00, 112.00, 118.00, 20.00, 330.00, 79.00, 155.00, 57.00, 63.80, 21.00
1736180095,82.00, 112.00, 117.00, 20.00, 330.00, 79.00, 155.00, 58.00, 63.80, 21.00
1736180096,82.00, 112.00, 117.00, 20.00, 330.00, 79.00, 155.00, 56.00, 63.80, 21.00
1736180097,83.00, 112.00, 118.00, 21.00, 331.00, 79.00, 156.00, 57.00, 63.80, 21.00
1736180098,82.00, 113.00, 118.00, 21.00, 330.00, 78.00, 155.00, 57.00, 63.80, 21.00
1736180099,82.00, 112.00, 118.00, 21.00, 330.00, 78.00, 155.00, 57.00, 63.80, 21.00
1736180100,83.00, 112.00, 117.00, 20.00, 329.00, 77.00, 155.00, 57.00, 63.80, 21.00
